id,text_hindi,text_hinglish,label,category,sub_category,threat_level,keywords_matched,source_type
16,"TRAI की तरफ से सूचना: आपका मोबाइल नंबर 2 घंटे में बंद होगा। अपनी जानकारी अपडेट करें।","TRAI ki taraf se suchna: Aapka mobile number 2 ghante mein band hoga. Apni jaankari update karen.",1,phishing,trai_impersonation,medium,"TRAI,mobile number,2 hours,update",sms
17,"आपके नाम से एक बैंक खाता खुला है जिसमें ₹47 लाख की लेनदेन हुई है। यह ED का नोटिस है।","Aapke naam se ek bank khata khula hai jisme 47 lakh ki leinden hui hai. Yeh ED ka notice hai.",1,digital_arrest,ed_impersonation,critical,"ED,bank account,money transfer,notice",voice_call
18,"हम आपको बताना चाहते हैं कि आपकी पिछली बार की सेवा अच्छी लगी। धन्यवाद!","Hum aapko batana chahte hain ki aapki pichhli baar ki seva achhi lagi. Dhanyavaad!",0,legitimate,customer_service,none,"",sms
19,"यह CYBER CRIME CELL है। आपके IP Address से child pornography access की गई है। अभी ₹3,00,000 जमा करें।","Yeh Cyber Crime Cell hai. Aapke IP Address se child pornography access ki gayi hai. Abhi 3 lakh rupees jama karen.",1,digital_arrest,cyber_crime_impersonation,critical,"cyber crime,IP address,illegal content,fine",voice_call
20,"कल रात की पार्टी में बहुत मजा आया। अगली बार फिर मिलेंगे।","Kal raat ki party mein bahut maza aaya. Agli baar phir milenge.",0,legitimate,casual_conversation,none,"",sms
21,"आपके WhatsApp पर एक वीडियो वायरल हो रहा है जिसमें आप हैं। आपको ₹1 लाख देने होंगे वरना पुलिस को भेजेंगे।","Aapke WhatsApp par ek video viral ho raha hai jisme aap hain. Aapko 1 lakh dene honge warna police ko bhejenge.",1,digital_arrest,sextortion,critical,"video,viral,blackmail,WhatsApp,police",whatsapp_msg
22,"RBI का नोटिस: आपके बैंक खाते में संदिग्ध गतिविधि। अकाउंट फ्रीज होगा। यहाँ क्लिक करें।","RBI ka notice: Aapke bank khate mein sandehaspada gatividhi. Account freeze hoga. Yahan click karen.",1,phishing,rbi_impersonation,high,"RBI,bank account,suspicious,freeze,click",sms
23,"आपका बेटा दुर्घटना में घायल है। हम अस्पताल से बोल रहे हैं। तुरंत ₹50,000 भेजें।","Aapka beta durghatna mein ghaayal hai. Hum aspataal se bol rahe hain. Turant 50,000 rupees bhejen.",1,digital_arrest,emergency_scam,critical,"son,accident,hospital,money transfer",voice_call
24,"आज मौसम बहुत अच्छा है। पार्क में टहलने जाएंगे?","Aaj mausam bahut achha hai. Park mein tahlne jaenge?",0,legitimate,casual_conversation,none,"",sms
25,"Delhi Police बोल रही है। आपके पड़ोसी ने आपके खिलाफ शिकायत दर्ज की है। थाने आएं या ₹20,000 जमा करें।","Delhi Police bol rahi hai. Aapke padosi ne aapke khilaf shikayat darj ki hai. Thane aayen ya 20,000 rupees jama karen.",1,digital_arrest,police_impersonation,high,"Delhi Police,complaint,police station,fine",voice_call
26,"Amazon delivery: आपका ऑर्डर #1234 डिलीवरी के लिए तैयार है। घर पर रहें।","Amazon delivery: Aapka order #1234 delivery ke liye taiyaar hai. Ghar par rahen.",0,legitimate,delivery_notification,none,"",sms
27,"SEBI जांच में आपका नाम आया है। Insider trading। ₹10 लाख जमा करें या गिरफ्तारी होगी।","SEBI jaanch mein aapka naam aaya hai. Insider trading. 10 lakh jama karen ya giraftaari hogi.",1,digital_arrest,sebi_impersonation,critical,"SEBI,insider trading,arrest,fine",voice_call
28,"आपकी मां की तबीयत ठीक है। वे आपसे मिलना चाहती हैं। इस सप्ताह आ सकते हो?","Aapki maa ki tabiyat theek hai. Wo aapse milna chahti hain. Is saptaah aa sakte ho?",0,legitimate,family_message,none,"",sms
29,"आपके खाते से ₹89,000 की अनधिकृत निकासी हुई। यह SBI Fraud Cell है। गिफ्ट कार्ड खरीदें और नंबर बताएं।","Aapke khate se 89,000 rupees ki anadhikrit nikaasi hui. Yeh SBI Fraud Cell hai. Gift card khariden aur number batayen.",1,digital_arrest,bank_fraud,critical,"unauthorized withdrawal,bank,gift card,SBI",voice_call
30,"आपका पासपोर्ट आवेदन स्वीकृत हो गया है। कल कार्यालय आएं।","Aapka passport aavedan swikrit ho gaya hai. Kal kaaryaalay aayen.",0,legitimate,government_service,none,"",sms
31,"मैं IB (Intelligence Bureau) से हूं। आप पाकिस्तानी एजेंट के संपर्क में थे। अभी वीडियो कॉल पर आएं।","Main IB (Intelligence Bureau) se hoon. Aap Pakistani agent ke sampark mein the. Abhi video call par aayen.",1,digital_arrest,intelligence_impersonation,critical,"Intelligence Bureau,Pakistan,spy,video call",voice_call
32,"हमारे नए रेस्टोरेंट में आपका स्वागत है। पहले ऑर्डर पर 20% की छूट।","Hamare naye restaurant mein aapka swaagat hai. Pehle order par 20% ki choot.",0,legitimate,advertisement,none,"",sms
33,"आपके आधार से जुड़ा मोबाइल नंबर illegal SIM activation में इस्तेमाल हुआ। 1930 पर कॉल से पहले हमें पेमेंट करें।","Aapke Aadhaar se juda mobile number illegal SIM activation mein istemal hua. 1930 par call se pehle humein payment karen.",1,digital_arrest,sim_fraud,high,"Aadhaar,SIM,illegal,payment,1930",voice_call
34,"क्या आपने अपनी दवाइयां ले ली? डॉक्टर ने कहा था समय पर लेनी हैं।","Kya aapne apni dawaaiyaan le li? Doctor ne kaha tha samay par leni hain.",0,legitimate,health_reminder,none,"",sms
35,"आप Zoom पर आएं। आपके बैंक लॉकर में संदिग्ध सामान है। CBI की कस्टडी में लिया जाएगा।","Aap Zoom par aayen. Aapke bank locker mein sandehaspad saamaan hai. CBI ki custody mein liya jaayega.",1,digital_arrest,cbi_impersonation,critical,"Zoom,bank locker,CBI,custody",video_call
36,"आपकी बहन की शादी की बधाई! खुशी की बात है। पार्टी कब है?","Aapki bahan ki shaadi ki badhaai! Khushi ki baat hai. Party kab hai?",0,legitimate,personal_message,none,"",sms
37,"PMO Office: देशद्रोह के मामले में आपका नाम आया है। वीडियो कॉल पर जवाब दें।","PMO Office: Deshdroha ke mamle mein aapka naam aaya hai. Video call par jawab den.",1,digital_arrest,pmo_impersonation,critical,"PMO,sedition,video call",voice_call
38,"आपका Google खाता किसी अन्य डिवाइस से लॉग इन हुआ है। सुरक्षित रखने के लिए यहाँ क्लिक करें।","Aapka Google khata kisi anya device se log in hua hai. Surakshit rakhne ke liye yahan click karen.",1,phishing,tech_impersonation,medium,"Google account,login,click,security",sms
39,"बाजार से दूध और सब्जी लाना है। शाम को आ सकते हो?","Bazaar se doodh aur sabzi laana hai. Shaam ko aa sakte ho?",0,legitimate,household_message,none,"",sms
40,"आपके WhatsApp पर एक पुलिस नोटिस है। आपको cyber cell में पेश होना है या ₹25,000 जमा करना है।","Aapke WhatsApp par ek police notice hai. Aapko cyber cell mein pesh hona hai ya 25,000 rupees jama karna hai.",1,digital_arrest,police_impersonation,high,"WhatsApp,police notice,cyber cell,fine",whatsapp_msg
41,"आज की Yoga class सुबह 7 बजे है। मत भूलिएगा।","Aaj ki yoga class subah 7 baje hai. Mat bhuuliyega.",0,legitimate,reminder,none,"",sms
42,"Enforcement Directorate: आपके खिलाफ PMLA के तहत कार्रवाई। ₹15 लाख जमा करें। वरना संपत्ति जब्त होगी।","Enforcement Directorate: Aapke khilaf PMLA ke tahat karravaai. 15 lakh jama karen. Warna sampatti jabt hogi.",1,digital_arrest,ed_impersonation,critical,"ED,PMLA,property,arrest,fine",voice_call
43,"आपकी online खरीदारी का भुगतान सफल रहा। ऑर्डर नंबर OD12345।","Aapki online kharidaari ka bhugtaan safal raha. Order number OD12345.",0,legitimate,transaction_confirmation,none,"",sms
44,"आपके phone पर हमने remote access ले लिया है। आपके सभी data की कॉपी है। ₹2 लाख भेजें।","Aapke phone par humne remote access le liya hai. Aapke sabhi data ki copy hai. 2 lakh bhejen.",1,digital_arrest,tech_extortion,critical,"remote access,data,blackmail,phone",whatsapp_msg
45,"कल बच्चों की school में function है। समय पर पहुंचें।","Kal bachon ki school mein function hai. Samay par pahunchen.",0,legitimate,school_notice,none,"",sms
46,"CBI Officer बोल रहे हैं। आपके नाम से fake passport बना है। तुरंत ₹5 लाख जमा करें।","CBI Officer bol rahe hain. Aapke naam se fake passport bana hai. Turant 5 lakh jama karen.",1,digital_arrest,cbi_impersonation,critical,"CBI,fake passport,arrest,fine",voice_call
47,"यह रहा आपकी नई जॉब का ऑफर लेटर। सोमवार से शुरू होगा।","Yeh raha aapki nayi job ka offer letter. Somwaar se shuru hoga.",0,legitimate,job_offer,none,"",sms
48,"आपके नाम पर 47 SIM card चल रहे हैं। TRAI। सभी बंद होंगे। वीडियो कॉल पर verification करें।","Aapke naam par 47 SIM card chal rahe hain. TRAI. Sabhi band honge. Video call par verification karen.",1,digital_arrest,trai_impersonation,high,"SIM card,TRAI,verification,video call",voice_call
49,"पिताजी, आपकी दवाइयां मंगा दी हैं। कल तक आ जाएंगी।","Pitaji, aapki dawaaiyaan manga di hain. Kal tak aa jaengi.",0,legitimate,family_message,none,"",sms
50,"आप अभी से digital arrest में हैं। Skype बंद मत करें। कोर्ट का आदेश है।","Aap abhi se digital arrest mein hain. Skype band mat karen. Court ka aadesh hai.",1,digital_arrest,court_impersonation,critical,"digital arrest,Skype,court,order",video_call
51,"मुझे नहीं पता था कि आप इतने अच्छे खाना बनाते हैं! Recipe share करें।","Mujhe nahi pata tha ki aap itne achhe khaana banate hain! Recipe share karen.",0,legitimate,casual_conversation,none,"",sms
52,"Income Tax Department: आपने ₹8 लाख का टैक्स छुपाया है। अभी जमा करें नहीं तो arrest होगी।","Income Tax Department: Aapne 8 lakh ka tax chhupaya hai. Abhi jama karen nahi to arrest hogi.",1,digital_arrest,tax_fraud,critical,"Income Tax,tax evasion,arrest,fine",voice_call
53,"आपका वार्षिक subscription renew हो गया है। अगले साल भी हम साथ हैं।","Aapka varshik subscription renew ho gaya hai. Agle saal bhi hum saath hain.",0,legitimate,subscription,none,"",sms
54,"मैं Maharashtra Cyber Cell से हूं। आपके नाम से online betting हो रही है। वीडियो कॉल पर ID verify करें।","Main Maharashtra Cyber Cell se hoon. Aapke naam se online betting ho rahi hai. Video call par ID verify karen.",1,digital_arrest,cyber_crime_impersonation,high,"cyber cell,online betting,video call,ID",voice_call
55,"घर के पास नया park खुल गया है। बच्चों को ले जाना अच्छा रहेगा।","Ghar ke paas naya park khul gaya hai. Bachon ko le jaana achha rahega.",0,legitimate,casual_conversation,none,"",sms
56,"आपकी company का एक कर्मचारी fraud में पकड़ा गया। आपका नाम भी list में है। CBI जांच।","Aapki company ka ek karmachari fraud mein pakda gaya. Aapka naam bhi list mein hai. CBI jaanch.",1,digital_arrest,workplace_threat,high,"company,employee,fraud,CBI,investigation",voice_call
57,"बच्चों की exam में अच्छे marks आए! बहुत खुशी हुई।","Bachon ki exam mein achhe marks aaye! Bahut khushi hui.",0,legitimate,personal_message,none,"",sms
58,"Skype पर पुलिस officer आपसे बात करेंगे। call disconnect करने पर गिरफ्तारी होगी।","Skype par police officer aapse baat karenge. Call disconnect karne par giraftaari hogi.",1,digital_arrest,police_impersonation,critical,"Skype,police,disconnect,arrest",video_call
59,"आज बाजार में बहुत भीड़ थी। अगली बार सुबह जल्दी जाएंगे।","Aaj bazaar mein bahut bheed thi. Agli baar subah jaldi jaenge.",0,legitimate,casual_conversation,none,"",sms
60,"आपके phone का IMEI number black list में है। DoT। ₹10,000 जमा करें नहीं तो बंद होगा।","Aapke phone ka IMEI number black list mein hai. DoT. 10,000 rupees jama karen nahi to band hoga.",1,digital_arrest,dot_impersonation,medium,"IMEI,blacklist,DoT,phone,fine",sms
61,"आज का लंच साथ करें? Office के पास नई जगह खुली है।","Aaj ka lunch saath karen? Office ke paas nayi jagah khuli hai.",0,legitimate,casual_conversation,none,"",sms
62,"National Security Agency India: आपके device से terrorist network access हुआ। ₹20 लाख जमा करें।","National Security Agency India: Aapke device se terrorist network access hua. 20 lakh jama karen.",1,digital_arrest,fake_agency,critical,"NSA,terrorist,device,network,fine",voice_call
63,"आपकी पसंदीदा team ने आज match जीत लिया! कितना अच्छा लगा।","Aapki pasandida team ne aaj match jeet liya! Kitna achha laga.",0,legitimate,casual_conversation,none,"",sms
64,"आप अभी जो call पर हैं वो record हो रही है। आपके खिलाफ सबूत है। ₹3 लाख भेजें।","Aap abhi jo call par hain wo record ho rahi hai. Aapke khilaf saboot hai. 3 lakh bhejen.",1,digital_arrest,call_recording_threat,high,"call recording,evidence,blackmail,fine",voice_call
65,"नई recipe try की, बहुत अच्छी बनी। तुम भी try करना।","Nayi recipe try ki, bahut achhi bani. Tum bhi try karna.",0,legitimate,casual_conversation,none,"",sms
66,"Interpol India: आप international drug trafficking में शामिल हैं। वीडियो call पर आएं।","Interpol India: Aap international drug trafficking mein shaamil hain. Video call par aayen.",1,digital_arrest,interpol_impersonation,critical,"Interpol,drug trafficking,international,video call",video_call
67,"बिटिया स्कूल से वापस आ गई। खाना तैयार कर लो।","Bitiya school se wapas aa gayi. Khaana taiyaar kar lo.",0,legitimate,family_message,none,"",sms
68,"आपके सभी social media accounts हमारे पास हैं। ₹5 लाख दें नहीं तो सब leak होगा।","Aapke sabhi social media accounts hamare paas hain. 5 lakh den nahi to sab leak hoga.",1,digital_arrest,social_media_threat,critical,"social media,accounts,blackmail,leak",whatsapp_msg
69,"मुझे आपकी recipe बहुत पसंद है। क्या आप सिखा सकते हैं?","Mujhe aapki recipe bahut pasand hai. Kya aap sikha sakte hain?",0,legitimate,casual_conversation,none,"",sms
70,"Cyber Crime Division, Mumbai: आपके नाम से fake loan apps चल रहे हैं। तुरंत ₹2 लाख जमा करें।","Cyber Crime Division, Mumbai: Aapke naam se fake loan apps chal rahe hain. Turant 2 lakh jama karen.",1,digital_arrest,cyber_crime_impersonation,high,"cyber crime,loan app,fake,fine",voice_call
71,"परीक्षा की तैयारी कैसी चल रही है? कोई मदद चाहिए?","Pariksha ki taiyaari kaisi chal rahi hai? Koi madad chahiye?",0,legitimate,educational,none,"",sms
72,"आपके आधार से linked bank account में ₹90 लाख की transaction है। ED freeze करेगी। वीडियो call करें।","Aapke Aadhaar se linked bank account mein 90 lakh ki transaction hai. ED freeze karegi. Video call karen.",1,digital_arrest,ed_impersonation,critical,"Aadhaar,bank account,ED,transaction,freeze",video_call
73,"सुबह की walk में अच्छा लगा। प्रकृति का आनंद अलग है।","Subah ki walk mein achha laga. Prakriti ka aanand alag hai.",0,legitimate,casual_conversation,none,"",sms
74,"यह National Cyber Security का message है। आपके device पर virus है। ₹1,500 में fix करें।","Yeh National Cyber Security ka message hai. Aapke device par virus hai. 1,500 mein fix karen.",1,phishing,tech_support_scam,medium,"cyber security,virus,device,fix,payment",sms
75,"आपके घर का किराया आने वाले महीने से बढ़ेगा। जानकारी के लिए संपर्क करें।","Aapke ghar ka kiraya aane wale mahine se badhega. Jaankari ke liye sampark karen.",0,legitimate,rental_notice,none,"",sms
76,"पुलिस आयुक्त कार्यालय: आपके खिलाफ 3 FIR दर्ज हैं। गिरफ्तार होने से बचने के लिए ₹8 लाख दें।","Police Aayukt Kaaryaalay: Aapke khilaf 3 FIR darj hain. Giraftaar hone se bachne ke liye 8 lakh den.",1,digital_arrest,police_impersonation,critical,"police commissioner,FIR,arrest,bribe",voice_call
77,"योग शिविर में registration के लिए form भरें। आज अंतिम तारीख है।","Yog shivir mein registration ke liye form bharen. Aaj antim tarikh hai.",0,legitimate,event_registration,none,"",sms
78,"आप HDFC Bank Fraud Cell से बात कर रहे हैं। खाते की सुरक्षा के लिए OTP बताएं।","Aap HDFC Bank Fraud Cell se baat kar rahe hain. Khate ki suraksha ke liye OTP batayen.",1,phishing,bank_impersonation,high,"HDFC,OTP,bank,fraud cell",voice_call
79,"कल का function बहुत अच्छा रहा। सबको बहुत मजा आया।","Kal ka function bahut achha raha. Sabko bahut maza aaya.",0,legitimate,social_event,none,"",sms
80,"आपके WhatsApp पर आया message court का summon है। 24 घंटे में ₹50,000 जमा करें।","Aapke WhatsApp par aaya message court ka summon hai. 24 ghante mein 50,000 rupees jama karen.",1,digital_arrest,court_impersonation,critical,"WhatsApp,court summon,fine,24 hours",whatsapp_msg
81,"बाजार से कुछ लाना है? मैं अभी जा रहा हूं।","Bazaar se kuch laana hai? Main abhi ja raha hoon.",0,legitimate,casual_conversation,none,"",sms
82,"आपकी सेवानिवृत्ति के बाद भी pension कट जाएगी। ED जांच। वीडियो call पर आएं।","Aapki sevaanivritti ke baad bhi pension kat jaayegi. ED jaanch. Video call par aayen.",1,digital_arrest,pension_threat,high,"pension,retirement,ED,video call",video_call
83,"नई library में membership कार्ड बन रहे हैं। आज जाकर बनवाएं।","Nayi library mein membership card ban rahe hain. Aaj jaakar banvayen.",0,legitimate,community_service,none,"",sms
84,"यह CBI का वीडियो call है। आपको screen share करना होगा और OTP देना होगा।","Yeh CBI ka video call hai. Aapko screen share karna hoga aur OTP dena hoga.",1,digital_arrest,cbi_impersonation,critical,"CBI,screen share,OTP,video call",video_call
85,"तुम्हारी बात याद आती है। जल्दी मिलो।","Tumhari baat yaad aati hai. Jaldi milo.",0,legitimate,personal_message,none,"",sms
86,"Passport Office: आपके passport पर ban लगा है। ₹30,000 देकर ban हटवाएं।","Passport Office: Aapke passport par ban laga hai. 30,000 dekar ban hatvayen.",1,digital_arrest,government_impersonation,high,"passport,ban,payment,office",voice_call
87,"आपका electricity connection कल काट दिया जाएगा अगर bill जमा नहीं किया।","Aapka electricity connection kal kaat diya jaayega agar bill jama nahi kiya.",0,legitimate,utility_reminder,none,"",sms
88,"आपका नाम terrorist watchlist में है। NSA India। वीडियो call पर identify करें।","Aapka naam terrorist watchlist mein hai. NSA India. Video call par identify karen.",1,digital_arrest,fake_agency,critical,"terrorist,watchlist,NSA,video call",video_call
89,"बच्चों के लिए कोई अच्छी story book है? सुझाव दें।","Bachon ke liye koi achhi story book hai? Sujhaav den.",0,legitimate,casual_conversation,none,"",sms
90,"आपकी बेटी का phone tap किया जा रहा है। CBI। आपको ₹5 लाख देने होंगे।","Aapki beti ka phone tap kiya ja raha hai. CBI. Aapko 5 lakh dene honge.",1,digital_arrest,family_threat,critical,"phone tap,daughter,CBI,blackmail",voice_call
91,"पिछले हफ्ते की trip बहुत अच्छी रही। Photos देखीं?","Pichhle hafte ki trip bahut achhi rahi. Photos dekhin?",0,legitimate,casual_conversation,none,"",sms
92,"आपके crypto wallet में illegal transaction है। ED। सभी asset freeze होंगे। ₹10 लाख जमा करें।","Aapke crypto wallet mein illegal transaction hai. ED. Sabhi asset freeze honge. 10 lakh jama karen.",1,digital_arrest,crypto_threat,critical,"crypto,wallet,illegal,ED,freeze,fine",voice_call
93,"नई movie release हुई है। क्या weekend पर देखने चलें?","Nayi movie release hui hai. Kya weekend par dekhne chalen?",0,legitimate,casual_conversation,none,"",sms
94,"UIDAI: आपके Aadhaar का misuse हो रहा है। ₹1,000 जमा करें lock करने के लिए।","UIDAI: Aapke Aadhaar ka misuse ho raha hai. 1,000 jama karen lock karne ke liye.",1,phishing,uidai_impersonation,medium,"UIDAI,Aadhaar,misuse,lock,payment",sms
95,"आज office में meeting है। सब लोग समय पर आएं।","Aaj office mein meeting hai. Sab log samay par aayen.",0,legitimate,work_message,none,"",sms
96,"आपके phone का data CBI को दे दिया जाएगा। सहयोग करें और ₹7 लाख जमा करें।","Aapke phone ka data CBI ko de diya jaayega. Sahyog karen aur 7 lakh jama karen.",1,digital_arrest,data_extortion,critical,"phone data,CBI,extortion,fine",voice_call
97,"हमें कल तक report submit करनी है। Data ready है?","Hume kal tak report submit karni hai. Data ready hai?",0,legitimate,work_message,none,"",sms
98,"RBI Governor Office: आपके खाते में बड़ी रकम frozen है। ₹2 लाख देकर unfreeze करें।","RBI Governor Office: Aapke khate mein badi rakam frozen hai. 2 lakh dekar unfreeze karen.",1,digital_arrest,rbi_impersonation,critical,"RBI,Governor,frozen,unfreeze,fine",voice_call
99,"दादी जी का स्वास्थ्य कैसा है? उनसे मिलने आऊंगा अगले हफ्ते।","Dadi ji ka swasthya kaisa hai? Unse milne aaoonga agle hafte.",0,legitimate,family_message,none,"",sms
100,"आप अभी digital custody में हैं। यह government का आदेश है। Skype मत बंद करें।","Aap abhi digital custody mein hain. Yeh government ka aadesh hai. Skype mat band karen.",1,digital_arrest,authority_impersonation,critical,"digital custody,government,Skype,order",video_call
101,"मेरा नया phone आ गया है। बहुत अच्छा है।","Mera naya phone aa gaya hai. Bahut achha hai.",0,legitimate,casual_conversation,none,"",sms
102,"आपकी wife के नाम से fake account है जिसमें money laundering हुई। CBI जांच में आप भी शामिल।","Aapki wife ke naam se fake account hai jisme money laundering hui. CBI jaanch mein aap bhi shaamil.",1,digital_arrest,family_threat,critical,"wife,fake account,money laundering,CBI",voice_call
103,"क्या आप ने doctor से appointment ली? जल्दी करें।","Kya aapne doctor se appointment li? Jaldi karen.",0,legitimate,health_reminder,none,"",sms
104,"I4C (Indian Cyber Crime Coordination Centre): आपके device से fraud हुआ है। Screen share करें।","I4C (Indian Cyber Crime Coordination Centre): Aapke device se fraud hua hai. Screen share karen.",1,digital_arrest,cyber_crime_impersonation,high,"I4C,device,fraud,screen share",video_call
105,"शाम को chai पर आएं। कुछ बातें करनी हैं।","Shaam ko chai par aayen. Kuch baaten karni hain.",0,legitimate,casual_conversation,none,"",sms
106,"यह court का summons है। आपको video call पर judge के सामने पेश होना है।","Yeh court ka summons hai. Aapko video call par judge ke saamne pesh hona hai.",1,digital_arrest,court_impersonation,critical,"court summons,video call,judge",video_call
107,"नई cooking class join करने का मन है। क्या आप भी आएंगे?","Nayi cooking class join karne ka man hai. Kya aap bhi aayenge?",0,legitimate,casual_conversation,none,"",sms
108,"आपके नाम से 12 fake SIM activate हुए हैं। DoT। ₹15,000 जमा करें या सब बंद होंगे।","Aapke naam se 12 fake SIM activate hue hain. DoT. 15,000 jama karen ya sab band honge.",1,digital_arrest,dot_impersonation,high,"fake SIM,DoT,activate,fine",sms
109,"कल बारिश हो सकती है। छाता रखना मत भूलें।","Kal baarish ho sakti hai. Chhaata rakhna mat bhulen.",0,legitimate,weather_update,none,"",sms
110,"आपका बेटा दिल्ली में drug case में फंसा है। ₹10 लाख दें तो छोड़ देंगे।","Aapka beta Delhi mein drug case mein phansa hai. 10 lakh den to chod denge.",1,digital_arrest,family_threat,critical,"son,drug case,Delhi,ransom",voice_call
111,"Gym में नया batch शुरू हो रहा है। Registration करें।","Gym mein naya batch shuru ho raha hai. Registration karen.",0,legitimate,advertisement,none,"",sms
112,"मैं IPS officer हूं। आपके पड़ोसी ने आप पर आरोप लगाए हैं। Call रखें नहीं तो गिरफ्तारी।","Main IPS officer hoon. Aapke padosi ne aap par aarop lagaye hain. Call rakhen nahi to giraftaari.",1,digital_arrest,police_impersonation,high,"IPS,neighbor,accusations,call,arrest",voice_call
113,"Happy Birthday! आपको बहुत शुभकामनाएं।","Happy Birthday! Aapko bahut shubhkaamnayen.",0,legitimate,personal_message,none,"",sms
114,"यह Airtel/Jio का message है। आपका SIM block होगा। OTP बताएं।","Yeh Airtel/Jio ka message hai. Aapka SIM block hoga. OTP batayen.",1,phishing,telecom_impersonation,medium,"Airtel,Jio,SIM,block,OTP",sms
